代码,名称,综合得分,选股日价格,次日开盘价,次日收益%,胜负
688709,成都华微,0.5036,36.08,36.35,0.75,胜
688355,明志科技,0.5035,18.52,18.55,0.16,胜
603629,利通电子,0.5034,165.03,168.31,1.99,胜
002342,巨力索具,0.5032,10.26,10.32,0.58,胜
600889,*ST京化,0.5022,15.85,15.85,0.0,平
002445,中南文化,0.5021,3.19,3.17,-0.63,负
688601,力芯微,0.502,59.65,60.63,1.64,胜
603341,龙旗科技,0.5011,37.89,38.02,0.34,胜
688182,灿勤科技,0.5011,41.31,41.3,-0.02,负
688007,光峰科技,0.5007,12.96,12.91,-0.39,负
000777,中核科技,0.5007,21.86,20.45,-6.45,负
600360,华微电子,0.5002,12.18,12.07,-0.9,负
002046,国机精工,0.4978,62.01,62.0,-0.02,负
603699,纽威股份,0.4974,55.99,56.22,0.41,胜
301348,蓝箭电子,0.4965,29.16,28.87,-0.99,负
002600,领益智造,0.4965,15.85,15.8,-0.32,负
300046,台基股份,0.4963,31.0,31.0,0.0,平
603626,科森科技,0.4962,21.41,21.36,-0.23,负
002104,恒宝股份,0.4955,11.34,11.33,-0.09,负
300077,国民技术,0.4953,23.15,23.2,0.22,胜
300371,汇中股份,0.495,10.48,10.43,-0.48,负
300793,佳禾智能,0.4949,12.35,12.22,-1.05,负
002866,传艺科技,0.4949,18.18,18.08,-0.55,负
688257,新锐股份,0.4948,101.86,101.01,-0.83,负
605277,DR新亚电,0.4943,18.15,17.94,-1.16,负
301491,汉桑科技,0.4939,44.11,44.0,-0.25,负
002947,恒铭达,0.4933,90.95,90.7,-0.27,负
603327,福蓉科技,0.4917,10.8,10.87,0.65,胜
000630,铜陵有色,0.4916,7.56,7.39,-2.25,负
002903,宇环数控,0.4908,53.32,53.0,-0.6,负
603061,金海通,0.4903,340.24,337.06,-0.93,负
300154,瑞凌股份,0.4898,9.23,9.15,-0.87,负
688099,晶晨股份,0.4898,96.67,97.35,0.7,胜
688592,司南导航,0.4891,39.11,39.06,-0.13,负
301309,万得凯,0.4888,32.0,31.8,-0.62,负
301191,菲菱科思,0.4882,105.3,105.31,0.01,胜
003031,中瓷电子,0.4881,160.26,160.58,0.2,胜
301067,显盈科技,0.4867,36.4,36.41,0.03,胜
300602,飞荣达,0.4867,49.15,49.06,-0.18,负
300943,春晖智控,0.484,34.5,34.22,-0.81,负
688153,唯捷创芯,0.4838,31.6,31.23,-1.17,负
688036,传音控股,0.4832,55.92,55.65,-0.48,负
301314,科瑞思,0.4829,54.33,54.28,-0.09,负
600522,中天科技,0.4826,54.91,54.13,-1.42,负
603757,大元泵业,0.4824,53.09,53.1,0.02,胜
301567,贝隆精密,0.481,39.56,39.2,-0.91,负
603042,华脉科技,0.4803,20.41,20.7,1.42,胜
301311,昆船智能,0.4801,14.24,14.23,-0.07,负
603876,鼎胜新材,0.4797,26.04,25.68,-1.38,负
002150,正泰电源,0.4793,25.55,25.36,-0.74,负
300066,三川智慧,0.4785,6.38,6.21,-2.66,负
300259,新天科技,0.4781,5.71,5.74,0.53,胜
300370,安控科技,0.4779,2.17,2.16,-0.46,负
603969,银龙股份,0.4779,7.37,7.4,0.41,胜
300126,锐奇股份,0.4773,6.24,6.16,-1.28,负
688047,龙芯中科,0.4769,143.5,143.0,-0.35,负
600363,联创光电,0.4758,34.61,34.65,0.12,胜
002760,凤形股份,0.4752,17.41,17.18,-1.32,负
300306,远方信息,0.4749,10.28,10.24,-0.39,负
301125,腾亚精工,0.4747,15.77,15.57,-1.27,负
300711,广哈通信,0.4746,17.61,17.5,-0.62,负
